2111	196	242	3	881250949
2112	186	302	3	891717742
2113	22	377	1	878887116
2114	244	51	2	880606923
2115	166	346	1	886397596
2116	298	474	4	884182806
2117	115	265	2	881171488
2118	253	465	5	891628467
2119	305	451	3	886324817
21110	6	86	3	883603013
21111	62	257	2	879372434
21112	286	1014	5	879781125
21113	200	222	5	876042340
21114	210	40	3	891035994
21115	224	29	3	888104457
21116	303	785	3	879485318
21117	122	387	5	879270459
21118	194	274	2	879539794
21119	291	1042	4	874834944
21120	234	1184	2	892079237
21121	119	392	4	886176814
21122	167	486	4	892738452
21123	299	144	4	877881320
21124	291	118	2	874833878
21125	308	1	4	887736532
21126	95	546	2	879196566
21127	38	95	5	892430094
21128	102	768	2	883748450
21129	63	277	4	875747401
21130	160	234	5	876861185
21131	50	246	3	877052329
21132	301	98	4	882075827
21133	225	193	4	879539727
21134	290	88	4	880731963
21135	97	194	3	884238860
21136	157	274	4	886890835
21137	181	1081	1	878962623
21138	278	603	5	891295330
21139	276	796	1	874791932
21140	7	32	4	891350932
21141	10	16	4	877888877
21142	284	304	4	885329322
21143	201	979	2	884114233
21144	276	564	3	874791805
21145	287	327	5	875333916
21146	246	201	5	884921594
21147	242	1137	5	879741196
21148	249	241	5	879641194
21149	99	4	5	886519097
21150	178	332	3	882823437
21151	251	100	4	886271884
21152	81	432	2	876535131
21153	260	322	4	890618898
21154	25	181	5	885853415
21155	59	196	5	888205088
21156	72	679	2	880037164
21157	87	384	4	879877127
21158	290	143	5	880474293
21159	42	423	5	881107687
21160	292	515	4	881103977
21161	115	20	3	881171009
21162	20	288	1	879667584
21163	201	219	4	884112673
21164	13	526	3	882141053
21165	246	919	4	884920949
21166	138	26	5	879024232
21167	167	232	1	892738341
21168	60	427	5	883326620
21169	57	304	5	883698581
21170	223	274	4	891550094
21171	189	512	4	893277702
21172	243	15	3	879987440
21173	92	1049	1	890251826
21174	246	416	3	884923047
21175	194	165	4	879546723
21176	241	690	2	887249482
21177	178	248	4	882823954
21178	254	1444	3	886475558
21179	293	5	3	888906576
21180	127	229	5	884364867
21181	225	237	5	879539643
21182	299	229	3	878192429
21183	225	480	5	879540748
21184	276	54	3	874791025
21185	291	144	5	874835091
21186	222	366	4	878183381
21187	267	518	5	878971773
21188	42	403	3	881108684
21189	11	111	4	891903862
21190	95	625	4	888954412
21191	8	338	4	879361873
21192	162	25	4	877635573
21193	87	1016	4	879876194
21194	279	154	5	875296291
21195	145	275	2	885557505
21196	119	1153	5	874781198
21197	62	498	4	879373848
21198	62	382	3	879375537
21199	28	209	4	881961214
